Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Artificial intelligence in nephrology: predicting CKD progression and personalizing treatment,International Urology and Nephrology,,,,10.1007/s11255-025-04878-4,Shouping YuanLei GuoFeipeng Xu,2025,https://link.springer.com/article/10.1007/s11255-025-04878-4,Article
A fair and interpretable deep learning approach for healthcare access prediction in underserved communities,Discover Artificial Intelligence,,,,10.1007/s44163-025-00425-3,Akash SaxenaSaurabh SharmaPunit Kumar JohariAnkur PandeySunil Kumar,2025,https://link.springer.com/article/10.1007/s44163-025-00425-3,Article
Redefining oral healthcare through artificial intelligence: a review of current applications and a roadmap for the future of dentistry,BMC Artificial Intelligence,,,,10.1186/s44398-025-00013-6,Bharti DuaRajiv Kumar GuptaAkshay BhargavaAnupam BhardwajMeena JainSiddhi Tripathi,2025,https://link.springer.com/article/10.1186/s44398-025-00013-6,Article
Unveiling the potential of artificial intelligence in revolutionizing disease diagnosis and prediction: a comprehensive review of machine learning and deep learning approaches,European Journal of Medical Research,,,,10.1186/s40001-025-02680-7,Hossein SadrMojdeh NazariZeinab KhodaverdianRamyar FarzanShahrokh Yousefzadeh-ChabokMohammad Taghi AshoobiHossein HemmatiAmirreza HendiAli AshrafMir Mohsen PedramMeysam Hasannejad-BibalanMohammad Reza Yamaghani,2025,https://link.springer.com/article/10.1186/s40001-025-02680-7,Article
Ethical Implications and Bias Mitigation in Machine Learning Algorithms,Innovations in Data Analytics,,,,10.1007/978-981-96-6303-3_23,G. RevathyT. NandhiniM. Brem KumarS. Senthilvadivu,2025,https://link.springer.com/chapter/10.1007/978-981-96-6303-3_23,Conference paper
Systematic literature review on bias mitigation in generative AI,AI and Ethics,,,,10.1007/s43681-025-00721-9,Juveria AfreenMahsa MohagheghMaryam Doborjeh,2025,https://link.springer.com/article/10.1007/s43681-025-00721-9,Article
An Overview of the Machine Learning Algorithms in Healthcare Data Analysis,"Proceedings of the International Conference on Artificial Intelligence, Security, and Networking (CAISN 2024)",,,,10.1007/978-3-032-03695-7_17,Amine BelmzoukiaKaoutar ChahbariMohammed OuhsineJaafar AbouchabakaNajat Rafalia,2026,https://link.springer.com/chapter/10.1007/978-3-032-03695-7_17,Conference paper
Ethical Considerations in the Application of Artificial Intelligence in the Pharmaceutical Industry,Artificial Intelligence in Business,,,,10.1007/978-3-031-96631-6_32,Salah A. AlshehadeRaghdaa Hamdan Al ZarzourAhmad Naoras BitarAbdul Razzak AlshehadehSurtika TamilwananSafni Safni,2026,https://link.springer.com/chapter/10.1007/978-3-031-96631-6_32,Conference paper
"Artificial intelligence in cancer: applications, challenges, and future perspectives",Molecular Cancer,,,,10.1186/s12943-025-02450-3,Cillian H. ChengSu-sheng Shi,2025,https://link.springer.com/article/10.1186/s12943-025-02450-3,Article
Generative artificial intelligence in medicine,Nature Medicine,,,,10.1038/s41591-025-03983-2,Zhen Ling TeoArun James ThirunavukarasuKabilan ElangovanHaoran ChengPrasanth MoovaBrian SoetiknoChristopher NielsenAndreas PollreiszDarren Shu Jeng TingRobert J. T. MorrisNigam H. ShahCurtis P. LanglotzDaniel Shu Wei Ting,2025,https://link.springer.com/article/10.1038/s41591-025-03983-2,Article
"A Comprehensive Review of Bias in Deep Learning Models: Methods, Impacts, and Future Directions",Archives of Computational Methods in Engineering,,,,10.1007/s11831-024-10134-2,Milind ShahNitesh Sureja,2024,https://link.springer.com/article/10.1007/s11831-024-10134-2,Article
"Artificial Intelligence in Vascular Neurology: Applications, Challenges, and a Review of AI Tools for Stroke Imaging, Clinical Decision Making, and Outcome Prediction Models",Current Neurology and Neuroscience Reports,,,,10.1007/s11910-025-01422-w,Murad M. AlqadiSarkis G. Morales Vidal,2025,https://link.springer.com/article/10.1007/s11910-025-01422-w,Article
Artificial Intelligence and Cancer Health Equity: Bridging the Divide or Widening the Gap,Current Oncology Reports,,,,10.1007/s11912-024-01627-1,Irene Dankwa-MullanKingsley NdohDarlington AkogoHermano Alexandre Lima RochaSérgio Ferreira Juaçaba,2025,https://link.springer.com/article/10.1007/s11912-024-01627-1,Article
Mitigating Algorithmic Bias Through Sampling: The Role of Group Size and Sample Selection,"Advances in Bias, Fairness, and Understudied Users in Information Retrieval",,,,10.1007/978-3-032-12717-4_3,Maliheh Heidarpour ShahrezaeiRóisín LoughranKevin Mc Daid,2026,https://link.springer.com/chapter/10.1007/978-3-032-12717-4_3,Conference paper
"Artificial intelligence in radiology: a narrative review of current methods, clinical impact, and future directions",BMC Artificial Intelligence,,,,10.1186/s44398-025-00020-7,Amy AvakianGarrett Barfoot,2026,https://link.springer.com/article/10.1186/s44398-025-00020-7,Article
A Review on the Applications and Implications of Artificial Intelligence and Machine Learning in Oncology,International Journal of Computational Intelligence Systems,,,,10.1007/s44196-026-01164-8,Kunal HiwasePrateek VermaNikita ZadePraveen KumarInduni Nayodhara WeerarathnaSwapnil Gundewar,2026,https://link.springer.com/article/10.1007/s44196-026-01164-8,Article
"Skin, scalpel and the silicon chip: a systematic review on the accuracy, bias and data governance of artificial intelligence in dermatology, minimally invasive aesthetics, aesthetic, plastic and reconstructive surgery",European Journal of Plastic Surgery,,,,10.1007/s00238-025-02278-6,Eqram RahmanShabnam Sadeghi-EsfahlaniParinitha RaoPatricia GarciaSotirios IoannidisJohn NostaZakia RahmanWilliam Richard Webb,2025,https://link.springer.com/article/10.1007/s00238-025-02278-6,Article
"A Comprehensive Review of Bias in AI, ML, and DL Models: Methods, Impacts, and Future Directions",Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10483-6,Ankur KumarSanjay DhankaAbhinav SharmaAnchal SharmaMonika NainPrashant KumarAtma Ram GuptaJyoti BansalNitin Kumar SaxenaRuby Pant,2025,https://link.springer.com/article/10.1007/s11831-025-10483-6,Article
Artificial intelligence in headache medicine: between automation and the doctor-patient relationship. A systematic review,The Journal of Headache and Pain,,,,10.1186/s10194-025-02143-8,Christian Espinoza-VincesMarlon Cantillo MartínezAinhoa Atorrasagasti-VillarMaría del Mar Gimeno RodríguezDavid EzpeletaPablo Irimia,2025,https://link.springer.com/article/10.1186/s10194-025-02143-8,Article
A comprehensive overview: deep learning approaches to central serous chorioretinopathy diagnosis,BMC Ophthalmology,,,,10.1186/s12886-025-04372-6,Mohammad ShojaeiniaAzamossadat HosseiniMostafa NaderiBardia BaloutchMohammad Shokoohi YektaLeila AkbarpourHamid Moghaddasi,2025,https://link.springer.com/article/10.1186/s12886-025-04372-6,Article
Clinical readiness and limitations of artificial intelligence in hematologic diagnostics: a critical analytical review,Discover Artificial Intelligence,,,,10.1007/s44163-026-00956-3,Zaid Abdulrazzaq IbrahimMuntadher Ali Jasim Al-Sambawee,2026,https://link.springer.com/article/10.1007/s44163-026-00956-3,Article
"Powering responsible artificial intelligence with high-quality real-world data: the S-RACE platform for scalable, multi-specialty clinical research",npj Digital Medicine,,,,10.1038/s41746-025-02132-w,Alberto TraversoDonato TianoAndrea CorvagliaAlessio DimonteEdoardo Luigi DraettaBruno FabianiPatrick ScuriSimone BarbieriMarcello AgazziMuhammad ArslanDaniele CeladaFilippo ChiabrandoLorenzo CibrarioGiulio CieloAlberto ColomboStefano ContiniMarta LiberottiMarco MontagnaFrancesca Rita OgliariAnna PalmisanoFrancesco PisuDavide SerraDiego VaraniDavide VignaleAndrea Luigi VitaliAlan ZambelloChiara ChiapponiMarco DentiAntonio EspositoCarlo Tacchetti,2026,https://link.springer.com/article/10.1038/s41746-025-02132-w,Article
"Implementing generative artificial intelligence in precision oncology: safety, governance, and significance",Journal of Hematology & Oncology,,,,10.1186/s13045-026-01781-y,Ryuji HamamotoTakafumi KoyamaSatoshi TakahashiTomohiro YasudaKazuma KobayashiYu AkagiNobuji KounoKazuki SudoMakoto HirataKuniko SunamiTakashi KuboHiroshi KatayamaAtsuo TakashimaTomonori TaniguchiHiromi MatsumotoRyota ShibakiKen AsadaMasaaki KomatsuSyuzo KanekoMasayoshi YamadaHidehito HorinouchiKatsuya TanakaYasushi GotoKen KatoYutaka SaitoKenichi NakamuraNoboru Yamamoto,2026,https://link.springer.com/article/10.1186/s13045-026-01781-y,Article
Navigating Healthcare AI Governance: the Comprehensive Algorithmic Oversight and Stewardship Framework for Risk and Equity,Health Care Analysis,,,,10.1007/s10728-025-00537-y,Rahul KumarKyle SpornEthan WaisbergJoshua OngPhani PaladuguAmar S VadheraDylan AmiriAlex NgoRam JagadeesanAlireza TavakkoliTimothy LoftusAndrew G Lee,2025,https://link.springer.com/article/10.1007/s10728-025-00537-y,Article
"Top three priorities for artificial intelligence integration into emergency, critical, and perioperative medicine: an interdisciplinary clinical expert consensus","Journal of Anesthesia, Analgesia and Critical Care",,,,10.1186/s44158-025-00306-2,Beatrice LorigaFrancesco BaglivoValentina BelliniChiara AdembriJonathan MontomoliMarco CascellaGiacomo DiedenhofenLuigi De AngelisNicola GentiliMattia AltiniAntonio PastoriRaffaella GaggeriElena Giovanna Bignami,2025,https://link.springer.com/article/10.1186/s44158-025-00306-2,Article
Application and prospect of artificial intelligence in diagnostic imaging of prostate cancer,npj Digital Medicine,,,,10.1038/s41746-026-02354-6,Xiaoxiao WangShan ZhongKun FangYangchun DuJianlin Huang,2026,https://link.springer.com/article/10.1038/s41746-026-02354-6,Article
Exploring a decade of deep learning in dentistry: A comprehensive mapping review,Clinical Oral Investigations,,,,10.1007/s00784-025-06216-5,Fatemeh SohrabniyaSahel Hassanzadeh-SamaniSeyed AmirHossein OurangBahare JafariGolnoush FarzinniaFatemeh GorjinejadAzadeh Ghalyanchi-LangeroudiHossein Mohammad-RahimiAntonin TichySaeed Reza MotamedianFalk Schwendicke,2025,https://link.springer.com/article/10.1007/s00784-025-06216-5,Article
Artificial intelligence bias in medical system designs: a systematic review,Multimedia Tools and Applications,,,,10.1007/s11042-023-16029-x,Ashish KumarVivekanand AelganiRubeena VohraSuneet K. GuptaMrinalini BhagawatiSudip PaulLuca SabaNeha SuriNarendra N. KhannaJohn R. LairdAmer M. JohriManudeep KalraMostafa M. FoudaMostafa FatemiSubbaram NaiduJasjit S. Suri,2023,https://link.springer.com/article/10.1007/s11042-023-16029-x,Article
Understanding how users may work around algorithmic bias,AI & SOCIETY,,,,10.1007/s00146-025-02498-1,Hannah Overbye-ThompsonRonald E. Rice,2025,https://link.springer.com/article/10.1007/s00146-025-02498-1,Article
Personalized Healthcare Using AI and IoT,Intelligent Systems and Applications,,,,10.1007/978-3-032-00071-2_3,Hamad Almansour,2025,https://link.springer.com/chapter/10.1007/978-3-032-00071-2_3,Conference paper
"Big data analytics in healthcare: current practices, innovations, and future prospects",Journal of Big Data,,,,10.1186/s40537-025-01288-2,Khurram ShahzadShakeel Ahmad KhanMujahid LatifAsfa Muhammed Din JaveedAbid Iqbal,2025,https://link.springer.com/article/10.1186/s40537-025-01288-2,Article
Artificial intelligence in drug discovery and development: transforming challenges into opportunities,Discover Pharmaceutical Sciences,,,,10.1007/s44395-025-00007-3,Shashi KantDeepikaSaheli Roy,2025,https://link.springer.com/article/10.1007/s44395-025-00007-3,Article
"AI/ML-based strategies for enhancing equity, diversity, and inclusion in randomized clinical trials",Trials,,,,10.1186/s13063-026-09537-2,Shashidar Reddy AbbidiDebashree Sinha,2026,https://link.springer.com/article/10.1186/s13063-026-09537-2,Article
The authorization lottery: contradictory AI prioritization patterns in healthcare resource allocation,AI and Ethics,,,,10.1007/s43681-025-00795-5,Daniel SchneiderEthan BrownMax WardDaniel SciubbaSheng-Fu Lo,2025,https://link.springer.com/article/10.1007/s43681-025-00795-5,Article
Artificial intelligence in medicine: a position paper by the Italian Society of Internal Medicine,Internal and Emergency Medicine,,,,10.1007/s11739-025-04146-4,Clara BalsanoFederico CabitzaSebastiano CiccoMarco GoriDonato MalerbaMarco MontagnaRoberto TarquiniAngelo Vacca,2025,https://link.springer.com/article/10.1007/s11739-025-04146-4,Article
The role of artificial intelligence and machine learning in human disease diagnosis: a comprehensive review,Iran Journal of Computer Science,,,,10.1007/s42044-025-00321-0,Fatemeh ImaniAli BayaniMasoud KargarAlireza Assadzadeh,2025,https://link.springer.com/article/10.1007/s42044-025-00321-0,Article
Deep Learning Algorithms for Early Disease Detection in Medical Imaging Using AI,Information System Design: AI and ML Applications,,,,10.1007/978-981-95-0375-9_30,Midhun Kumar AyyalrajPooja KapilaV. SubburajDhivya Bharathi KrishnamoorthyS. Kannadhasan,2026,https://link.springer.com/chapter/10.1007/978-981-95-0375-9_30,Conference paper
The value of standards for health datasets in artificial intelligence-based applications,Nature Medicine,,,,10.1038/s41591-023-02608-w,Anmol AroraJoseph E. AldermanJoanne PalmerShaswath GanapathiElinor LawsMelissa D. McCraddenLauren Oakden-RaynerStephen R. PfohlMarzyeh GhassemiFrancis McKayDarren TreanorNegar RostamzadehBilal MateenJacqui GathAdewole O. AdebajoStephanie KukuRubeta MatinKatherine HellerElizabeth SapeyNeil J. SebireHeather Cole-LewisMelanie CalvertAlastair DennistonXiaoxuan Liu,2023,https://link.springer.com/article/10.1038/s41591-023-02608-w,Article
Insights into Artificial Intelligence Bias: Implications for Agriculture,Digital Society,,,,10.1007/s44206-024-00142-x,Mathuranathan MayuravaaniAmirthalingam RamananManeesha PereraDamith Asanka SenanayakeRajith Vidanaarachchi,2024,https://link.springer.com/article/10.1007/s44206-024-00142-x,Article
Artificial intelligence for sustainable solutions in combating antimicrobial resistance through data driven health innovations,Discover Public Health,,,,10.1186/s12982-025-01302-1,Riya BhattacharyaDebajyoti BoseKashif R. SiddiqueRaul Villamarin RodriguezAritra Ray,2026,https://link.springer.com/article/10.1186/s12982-025-01302-1,Article
"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare",Saudi Pharmaceutical Journal,,,,10.1007/s44446-025-00055-x,Sitah Alharthi,2025,https://link.springer.com/article/10.1007/s44446-025-00055-x,Article
Applications of artificial intelligence in ultrasound imaging for carpal-tunnel syndrome diagnosis: a scoping review,International Orthopaedics,,,,10.1007/s00264-025-06497-1,Yosra Magdi MekkiHye Chang RhimDaniel DaneshvarAntonios N. PouliopoulosCatherine CurtinElisabet Hagert,2025,https://link.springer.com/article/10.1007/s00264-025-06497-1,Article
Explainable AI for Early Detection of Mental Health Disorders Using Social Media Data: A Hybrid Deep Learning Approach with Clinician-in-the-Loop Validation,Proceedings of Data Analytics and Management,,,,10.1007/978-3-032-03751-0_42,Amanpreet KaurParwan SinghNilanjan ChatterjeeShubneetAnushka Raj YadavNavjot Singh Talwandi,2026,https://link.springer.com/chapter/10.1007/978-3-032-03751-0_42,Conference paper
Applications of artificial intelligence in mental health: a systematic literature review,Discover Artificial Intelligence,,,,10.1007/s44163-025-00569-2,Anmol WajidFarooque AzamMuhammad Waseem Anwar,2025,https://link.springer.com/article/10.1007/s44163-025-00569-2,Article
Interventional Radiology Reporting Standards and&#xa0;Checklist for Artificial Intelligence Research Evaluation (iCARE),CardioVascular and Interventional Radiology,,,,10.1007/s00270-024-03956-x,James T. AnibalHannah B. HuthTom BoekenDania DayeJudy GichoyaFernando Gómez MuñozJulius ChapiroBradford J. WoodDaniel Y. SzeKlaus Hausegger,2025,https://link.springer.com/article/10.1007/s00270-024-03956-x,Article
Unlocking the potential of deep learning in brain stroke prognosis: a systematic literature review,Artificial Intelligence Review,,,,10.1007/s10462-025-11353-0,Annas BarouhouLaila BenhlimaSlimane Bah,2025,https://link.springer.com/article/10.1007/s10462-025-11353-0,Article
"Artificial intelligence for abdominopelvic trauma imaging: trends, gaps, and future directions",Abdominal Radiology,,,,10.1007/s00261-025-04816-z,David DreizinChi-Tung ChengChien-Hung LiaoAnkush JindalErrol Colak,2025,https://link.springer.com/article/10.1007/s00261-025-04816-z,Article
"Artificial intelligence–driven kidney organ allocation: systematic review of clinical outcome prediction, ethical frameworks, and decision-making algorithms",BMC Nephrology,,,,10.1186/s12882-025-04576-4,Faezeh FiruzpourAbazar Akbarzadeh PashaFarshid OliaeiKhatereh NasirimehrMohammadreza KhosraviGhasem RostamiHamid Reza Saeidnia,2025,https://link.springer.com/article/10.1186/s12882-025-04576-4,Article
Integration of artificial intelligence and wearable technology in the management of diabetes and prediabetes,npj Digital Medicine,,,,10.1038/s41746-025-02036-9,Raphael A. FraserRebekah J. WalkerJennifer A. CampbellObinna EkwunifeLeonard E. Egede,2025,https://link.springer.com/article/10.1038/s41746-025-02036-9,Article
Ophthalmic Image Synthesis and Analysis with Generative Adversarial Network Artificial Intelligence,Journal of Imaging Informatics in Medicine,,,,10.1007/s10278-025-01519-1,Mouayad MasalkhiKyle SpornRahul KumarJoshua OngTuan NguyenEthan WaisbergNasif ZamanAndrew G. LeeAlireza Tavakkoli,2025,https://link.springer.com/article/10.1007/s10278-025-01519-1,Article
Alzheimer’s disease detection using deep learning and machine learning: a review,Artificial Intelligence Review,,,,10.1007/s10462-025-11258-y,Saeed Mohsen,2025,https://link.springer.com/article/10.1007/s10462-025-11258-y,Article
A comparative study of artificial intelligence-based approaches for colorectal cancer diagnosis,Discover Applied Sciences,,,,10.1007/s42452-025-08000-2,Jenifer  RGopinath PalanisamyNisha  J.  S.,2025,https://link.springer.com/article/10.1007/s42452-025-08000-2,Article
"Generative artificial intelligence in manufacturing: applications, case studies, and future directions for next-generation intelligent production systems",The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-025-16667-5,Mohammad ShahinAli HosseinzadehF. Frank Chen,2025,https://link.springer.com/article/10.1007/s00170-025-16667-5,Article
Demographic inaccuracies and biases in the depiction of patients by artificial intelligence text-to-image generators,npj Digital Medicine,,,,10.1038/s41746-025-01817-6,Tim Luca Till WiegandLeonard Ben JungJonas Anton GuderaLuisa Sophie SchuhmacherPaulina MoehrleJon Felix RischewskiPardiss MehrzadSubin JeongLisa Ha NguyenMichael PoeschlaLaura Isabella VelezmoroLinus KrukKonstantinos DimitriadisInga Katharina Koerte,2025,https://link.springer.com/article/10.1038/s41746-025-01817-6,Article
"Artificial intelligence as medical device in radiology in 2025: the regulatory scenario in the EU, USA, and China",European Radiology,,,,10.1007/s00330-026-12460-4,Filippo PesapaneCarlo De CeccoHao WangMathias K. HauglidFrancesco Sardanelli,2026,https://link.springer.com/article/10.1007/s00330-026-12460-4,Article
The Role of Artificial Intelligence in Echocardiography: A Clinical Update,Current Cardiology Reports,,,,10.1007/s11886-023-02005-2,Daniel AzizKameswari MagantiNaveena YanamalaPartho Sengupta,2023,https://link.springer.com/article/10.1007/s11886-023-02005-2,Article
Recent Advances in Deep Learning for Oral Cancer Identification and Classification,ICT Systems and Sustainability,,,,10.1007/978-3-032-06677-0_1,Dipali WankhadeShailesh GahaneMrunal Meshram,2026,https://link.springer.com/chapter/10.1007/978-3-032-06677-0_1,Conference paper
Artificial Intelligence and Multi-Omics Integration in Obesity: A Review of Computational Models for Predicting Metabolic Comorbidities,Clinical & Translational Metabolism,,,,10.1007/s12018-025-09310-0,Ankur Pan SaikiaAnanya Kalita,2025,https://link.springer.com/article/10.1007/s12018-025-09310-0,Article
Artificial intelligence-based classification for waste management: a systematic review and future direction,Iran Journal of Computer Science,,,,10.1007/s42044-025-00336-7,Dhanashree Vipul YevlePalvinder Singh Mann,2025,https://link.springer.com/article/10.1007/s42044-025-00336-7,Article
Generative AI for Synthetic Data Creation in Privacy-Preserving Data Analytics,Proceedings of Sixth Doctoral Symposium on Computational Intelligence,,,,10.1007/978-981-96-8104-4_9,Rahul VadisettyAnand PolamarasettiMahesh Kumar GoyalDeven Yadav,2026,https://link.springer.com/chapter/10.1007/978-981-96-8104-4_9,Conference paper
The Future of Antibiotics and Artificial Intelligence: Some Thoughts from Discovery to Bedside,Infectious Diseases and Therapy,,,,10.1007/s40121-025-01288-y,Daniele Roberto GiacobbeAlessandra Agnese GrossiMatteo BassettiCesar de la Fuente-Nunez,2025,https://link.springer.com/article/10.1007/s40121-025-01288-y,Article
Ophthalmic drug discovery and development using artificial intelligence and digital health technologies,npj Digital Medicine,,,,10.1038/s41746-025-01954-y,Haoran ChengJoy Le Yi WongChrystie Wan Ning QuekJeffrey L. GoldbergVinit B. MahajanTien Yin WongJodhbir S. MehtaDaniel S. W. TingDarren S. J. Ting,2025,https://link.springer.com/article/10.1038/s41746-025-01954-y,Article
XAI-HD: an explainable artificial intelligence framework for heart disease detection,Artificial Intelligence Review,,,,10.1007/s10462-025-11385-6,Md. Alamin TalukderAmira Samy TalaatMohsin KaziAnsam Khraisat,2025,https://link.springer.com/article/10.1007/s10462-025-11385-6,Article
Interdisciplinary framework for the development of artificial intelligence solutions in one health,Progress in Artificial Intelligence,,,,10.1007/s13748-025-00369-w,K. Aditya Shastry,2025,https://link.springer.com/article/10.1007/s13748-025-00369-w,Article
A review on advancing biometric authentication through integrating multimodal fusion with synthetic data augmentation for adaptive systems,The European Physical Journal Plus,,,,10.1140/epjp/s13360-026-07296-2,Laxman SinghAshish KumarRicha Golash,2026,https://link.springer.com/article/10.1140/epjp/s13360-026-07296-2,Article
Smart nanomedicines powered by artificial intelligence: a breakthrough in lung cancer diagnosis and treatment,Medical Oncology,,,,10.1007/s12032-025-02680-x,Moloudosadat AlavinejadMaryam ShirzadMohammad Javad Javid-NaderiAbbas RahdarSonia Fathi-karkanSadanand Pandey,2025,https://link.springer.com/article/10.1007/s12032-025-02680-x,Article
Artificial Intelligence for Ovarian Cancer Detection with Medical Images: A Review of the Last Decade (2013–2023),Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10268-x,Amir Reza Naderi YaghoutiAhmad ShalbafRoohallah AlizadehsaniRu-San TanAnushya VijayananthanChai Hong YeongU. Rajendra Acharya,2025,https://link.springer.com/article/10.1007/s11831-025-10268-x,Article
Deconstructing gender bias in AGI: mitigating discriminatory architectures in general intelligence,AI and Ethics,,,,10.1007/s43681-025-00818-1,Cristina Caja MoyaElio Quiroga Rodríguez,2025,https://link.springer.com/article/10.1007/s43681-025-00818-1,Article
Generative artificial intelligence for sustainable development: predictive trend analysis in key sectors using natural language processing,Discover Applied Sciences,,,,10.1007/s42452-025-07207-7,Chetan SharmaShamneesh SharmaVivek BhardwajBalwinder Kaur Dhaliwal,2025,https://link.springer.com/article/10.1007/s42452-025-07207-7,Article
"Global Trends in Artificial Intelligence. Challenges, Opportunities, and Prospects",Cybernetics and Systems Analysis,,,,10.1007/s10559-025-00790-y,M. Z. Zgurovsky,2025,https://link.springer.com/article/10.1007/s10559-025-00790-y,Article
The role of artificial intelligence-based foundation models and “copilots” in cancer pathology: potential and challenges,Journal of Experimental & Clinical Cancer Research,,,,10.1186/s13046-025-03592-4,Cillian H. ChengChi Chun Wong,2025,https://link.springer.com/article/10.1186/s13046-025-03592-4,Article
"Harnessing Artificial Intelligence for Global Sustainability: Innovative Solutions to Climate, Health, and Urban Challenges",ICT for Global Innovations and Solutions,,,,10.1007/978-3-032-02853-2_34,Srinivas Reddy Kosna,2026,https://link.springer.com/chapter/10.1007/978-3-032-02853-2_34,Conference paper
"Transformative Potential of Machine Learning in Brain Tumor Disease: A Comprehensive Review of Machine Learning Techniques, Challenges, and Future Directions in Enhancing Healthcare Access","Sustainable Development through Machine Learning, AI and IoT",,,,10.1007/978-3-032-19242-4_4,Sonu KumariDr Amrinder Kaur,2026,https://link.springer.com/chapter/10.1007/978-3-032-19242-4_4,Conference paper
ChatGPT and ethics in healthcare facilities: an overview and innovations in technical efficiency analysis,AI and Ethics,,,,10.1007/s43681-025-00672-1,Er-Rays YoussefM’dioud MeriemHamid Ait-Lemqeddem,2025,https://link.springer.com/article/10.1007/s43681-025-00672-1,Article
IoMT driven Alzheimer’s prediction model empowered with transfer learning and explainable AI approach in healthcare 5.0,Scientific Reports,,,,10.1038/s41598-025-19395-8,Abdul Hannan KhanDanish AliShakeel AhmedAbdulaziz AlhumamMuhammad Farrukh KhanShahan Yamin Siddiqui,2025,https://link.springer.com/article/10.1038/s41598-025-19395-8,Article
Advances in artificial intelligence for olfaction and gustation: a comprehensive review,Artificial Intelligence Review,,,,10.1007/s10462-025-11309-4,Zhihao HaoHaisheng LiJianhua GuoYong Xu,2025,https://link.springer.com/article/10.1007/s10462-025-11309-4,Article
Pediatrics 4.0: the Transformative Impacts of the Latest Industrial Revolution on Pediatrics,Health Care Analysis,,,,10.1007/s10728-025-00536-z,Derşan OnurÇağla Özbakır,2025,https://link.springer.com/article/10.1007/s10728-025-00536-z,Article
"Deep Learning and&#xa0;Beyond: Innovations, Limitations, and&#xa0;the&#xa0;Road Ahead",ICT Systems and Sustainability,,,,10.1007/978-3-032-06671-8_44,Aryan GoyatAditya MaanVimmi Malhotra,2026,https://link.springer.com/chapter/10.1007/978-3-032-06671-8_44,Conference paper
