PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40270427","Federated Learning for Healthcare: Class Imbalance Mitigation and Feature Drift Detection","Andres J, Hilberger H, Hanke S, Bödenler M.","Stud Health Technol Inform. 2025 Apr 24;324:292-297. doi: 10.3233/SHTI250203.","Andres J","Stud Health Technol Inform","2025","2025/04/24","","","10.3233/SHTI250203"
"40569343","Synthetic Data for Sharing and Exploration in High-Performance Sport: Considerations for Application","Warmenhoven J, Impellizzeri FM, Shrier I, Vigotsky AD, Lolli L, Menaspà P, Coutts AJ, Fanchini M, Hooker G.","Sports Med. 2025 Aug;55(8):2019-2037. doi: 10.1007/s40279-025-02221-6. Epub 2025 Jun 26.","Warmenhoven J","Sports Med","2025","2025/06/26","PMC12460485","","10.1007/s40279-025-02221-6"
"39983361","Addressing imbalance in health data: Synthetic minority oversampling using deep learning","Wang AX, Le VT, Trung HN, Nguyen BP.","Comput Biol Med. 2025 Apr;188:109830. doi: 10.1016/j.compbiomed.2025.109830. Epub 2025 Feb 20.","Wang AX","Comput Biol Med","2025","2025/02/21","","","10.1016/j.compbiomed.2025.109830"
"40758491","Advancing Cancer Research With Synthetic Data Generation in Low-Data Scenarios","Apellaniz PA, Galende BA, Jimenez A, Parras J, Zazo S.","IEEE J Biomed Health Inform. 2026 Feb;30(2):1666-1679. doi: 10.1109/JBHI.2025.3595371.","Apellaniz PA","IEEE J Biomed Health Inform","2026","2025/08/04","","","10.1109/JBHI.2025.3595371"
"40730812","Democratizing cost-effective, agentic artificial intelligence to multilingual medical summarization through knowledge distillation","Lee C, Kumar S, Vogt KA, Munshi M, Tallapudi P, Vogt A, Awad H, Khan W.","Sci Rep. 2025 Jul 29;15(1):27619. doi: 10.1038/s41598-025-10451-x.","Lee C","Sci Rep","2025","2025/07/29","PMC12307869","","10.1038/s41598-025-10451-x"
"39732668","The aluminum standard: using generative Artificial Intelligence tools to synthesize and annotate non-structured patient data","Diaz Ochoa JG, Mustafa FE, Weil F, Wang Y, Kama K, Knott M.","BMC Med Inform Decis Mak. 2024 Dec 28;24(1):409. doi: 10.1186/s12911-024-02825-4.","Diaz Ochoa JG","BMC Med Inform Decis Mak","2024","2024/12/28","PMC11681671","","10.1186/s12911-024-02825-4"
"41110737","Synthetic-to-real attentive deep learning for Alzheimer's assessment: A domain-agnostic framework for ROCF scoring","Bouali KA, Šikudová E.","J Biomed Inform. 2025 Nov;171:104929. doi: 10.1016/j.jbi.2025.104929. Epub 2025 Oct 17.","Bouali KA","J Biomed Inform","2025","2025/10/19","","","10.1016/j.jbi.2025.104929"
"40588885","Challenges and Risks of Using Synthetic Data for AI-Driven Healthcare Applications","Karoulla E, Matragkas N, Islam SU, Epiphaniou G.","Stud Health Technol Inform. 2025 Jun 26;328:81-85. doi: 10.3233/SHTI250677.","Karoulla E","Stud Health Technol Inform","2025","2025/07/01","","","10.3233/SHTI250677"
"40644844","Patterns, advances, and gaps in using ChatGPT and similar technologies in nursing education: A PAGER scoping review","Amankwaa I, Ekpor E, Cudjoe D, Kobiah E, Fuseini AJ, Diebieri M, Gyamfi S, Brownie S.","Nurse Educ Today. 2025 Oct;153:106822. doi: 10.1016/j.nedt.2025.106822. Epub 2025 Jul 5.","Amankwaa I","Nurse Educ Today","2025","2025/07/11","","","10.1016/j.nedt.2025.106822"
"39471493","A machine learning framework to adjust for learning effects in medical device safety evaluation","Koola JD, Ramesh K, Mao J, Ahn M, Davis SE, Govindarajulu U, Perkins AM, Westerman D, Ssemaganda H, Speroff T, Ohno-Machado L, Ramsay CR, Sedrakyan A, Resnic FS, Matheny ME.","J Am Med Inform Assoc. 2025 Jan 1;32(1):206-217. doi: 10.1093/jamia/ocae273.","Koola JD","J Am Med Inform Assoc","2025","2024/10/29","PMC11648715","","10.1093/jamia/ocae273"
"40488579","Consideration of Sociodemographics in Machine Learning-Driven Sepsis Risk Prediction","Hauschildt KE, Pan A, Bernstein T, Admon AJ, Mukherjee B, Iwashyna TJ, Rountree L.","Crit Care Med. 2025 Sep 1;53(9):e1815-e1820. doi: 10.1097/CCM.0000000000006741. Epub 2025 Jun 9.","Hauschildt KE","Crit Care Med","2025","2025/06/09","","","10.1097/CCM.0000000000006741"
"39742693","Preserving privacy in healthcare: A systematic review of deep learning approaches for synthetic data generation","Liu Y, Acharya UR, Tan JH.","Comput Methods Programs Biomed. 2025 Mar;260:108571. doi: 10.1016/j.cmpb.2024.108571. Epub 2024 Dec 28.","Liu Y","Comput Methods Programs Biomed","2025","2025/01/01","","","10.1016/j.cmpb.2024.108571"
"34731772","Characterizing interactions between cardiac shape and deformation by non-linear manifold learning","Maxime DF, Pamela M, Patrick C, Nicolas D.","Med Image Anal. 2022 Jan;75:102278. doi: 10.1016/j.media.2021.102278. Epub 2021 Oct 23.","Maxime DF","Med Image Anal","2022","2021/11/03","","","10.1016/j.media.2021.102278"
"39530740","Machine learning-based infection diagnostic and prognostic models in post-acute care settings: a systematic review","Xu Z, Scharp D, Hobensack M, Ye J, Zou J, Ding S, Shang J, Topaz M.","J Am Med Inform Assoc. 2025 Jan 1;32(1):241-252. doi: 10.1093/jamia/ocae278.","Xu Z","J Am Med Inform Assoc","2025","2024/11/12","PMC11648729","","10.1093/jamia/ocae278"
"40388536","Generative AI mitigates representation bias and improves model fairness through synthetic health data","Marchesi R, Micheletti N, I-Hsien Kuo N, Barbieri S, Jurman G, Osmani V.","PLoS Comput Biol. 2025 May 19;21(5):e1013080. doi: 10.1371/journal.pcbi.1013080. eCollection 2025 May.","Marchesi R","PLoS Comput Biol","2025","2025/05/19","PMC12112403","","10.1371/journal.pcbi.1013080"
"37378418","Amplifying the Effects of Contrast Agents on Magnetic Resonance Images Using a Deep Learning Method Trained on Synthetic Data","Fringuello Mingo A, Colombo Serra S, Macula A, Bella D, La Cava F, Alì M, Papa S, Tedoldi F, Smits M, Bifone A, Valbusa G.","Invest Radiol. 2023 Dec 1;58(12):853-864. doi: 10.1097/RLI.0000000000000998. Epub 2023 Jul 28.","Fringuello Mingo A","Invest Radiol","2023","2023/06/28","PMC10662587","","10.1097/RLI.0000000000000998"
"41270457","Large language models (LLMs) in radiography research: A narrative review","Rainey C, England A, Murphy PC, Mohammad AA, Hadi YH, McEntee M.","Radiography (Lond). 2026 Jan;32(1):103244. doi: 10.1016/j.radi.2025.103244. Epub 2025 Nov 20.","Rainey C","Radiography (Lond)","2026","2025/11/21","","","10.1016/j.radi.2025.103244"
"40829151","Exploring the Application of AI and Extended Reality Technologies in Metaverse-Driven Mental Health Solutions: Scoping Review","Tabassum A, Ghaznavi I, Abd-Alrazaq A, Qadir J.","J Med Internet Res. 2025 Aug 19;27:e72400. doi: 10.2196/72400.","Tabassum A","J Med Internet Res","2025","2025/08/19","PMC12405795","","10.2196/72400"
"40962129","SynthMedic: Utilizing large language models for synthetic discharge summary generation, correction and validation","Grazhdanski G, Vasilev V, Vassileva S, Taskov D, Antova I, Koychev I, Boytcheva S.","J Biomed Inform. 2025 Oct;170:104906. doi: 10.1016/j.jbi.2025.104906. Epub 2025 Sep 15.","Grazhdanski G","J Biomed Inform","2025","2025/09/17","","","10.1016/j.jbi.2025.104906"
"38828883","The effects of back-projection variants in BPF-like TOF PET reconstruction using CNN filtration - Based on simulated and clinical brain data","Lv L, Zeng GL, Chen G, Ding W, Weng F, Huang Q.","Med Phys. 2024 Sep;51(9):6161-6175. doi: 10.1002/mp.17191. Epub 2024 Jun 3.","Lv L","Med Phys","2024","2024/06/03","PMC11489027","NIHMS2021811","10.1002/mp.17191"
"38409365","Semantic representation and comparative analysis of physical activity sensor observations using MOX2-5 sensor in real and synthetic datasets: a proof-of-concept-study","Chatterjee A, Gerdes MW, Prinz A, Riegler MA, Martinez SG.","Sci Rep. 2024 Feb 26;14(1):4634. doi: 10.1038/s41598-024-55183-6.","Chatterjee A","Sci Rep","2024","2024/02/27","PMC10897381","","10.1038/s41598-024-55183-6"
"40417510","Enhancement of Fairness in AI for Chest X-ray Classification","Jackson NJ, Yan C, Malin BA.","AMIA Annu Symp Proc. 2025 May 22;2024:551-560. eCollection 2024.","Jackson NJ","AMIA Annu Symp Proc","2025","2025/05/26","PMC12099404","",""
"36868494","Efficacy of Robot-Assisted Training on Rehabilitation of Upper Limb Function in Patients With Stroke: A Systematic Review and Meta-analysis","Yang X, Shi X, Xue X, Deng Z.","Arch Phys Med Rehabil. 2023 Sep;104(9):1498-1513. doi: 10.1016/j.apmr.2023.02.004. Epub 2023 Mar 1.","Yang X","Arch Phys Med Rehabil","2023","2023/03/03","","","10.1016/j.apmr.2023.02.004"
"41719633","Enhancing survival analysis through federated learning in non-IID and scarce data scenarios","Apellániz PA, Parras J, Zazo S.","Comput Biol Med. 2026 Mar;204:111558. doi: 10.1016/j.compbiomed.2026.111558. Epub 2026 Feb 19.","Apellániz PA","Comput Biol Med","2026","2026/02/20","","","10.1016/j.compbiomed.2026.111558"
"37960391","A Generative Adversarial Network to Synthesize 3D Magnetohydrodynamic Distortions for Electrocardiogram Analyses Applied to Cardiac Magnetic Resonance Imaging","Mehri M, Calmon G, Odille F, Oster J, Lalande A.","Sensors (Basel). 2023 Oct 24;23(21):8691. doi: 10.3390/s23218691.","Mehri M","Sensors (Basel)","2023","2023/11/14","PMC10649946","","10.3390/s23218691"
"35651302","Single-material beam hardening correction via an analytical energy response model for diagnostic CT","Haase V, Hahn K, Schöndube H, Stierstorfer K, Maier A, Noo F.","Med Phys. 2022 Aug;49(8):5014-5037. doi: 10.1002/mp.15787. Epub 2022 Jun 16.","Haase V","Med Phys","2022","2022/06/02","PMC9388575","NIHMS1812584","10.1002/mp.15787"
"37852145","Bidimensional ensemble entropy: Concepts and application to emphysema lung computerized tomography scans","Gaudêncio AS, Azami H, Cardoso JM, Vaz PG, Humeau-Heurtier A.","Comput Methods Programs Biomed. 2023 Dec;242:107855. doi: 10.1016/j.cmpb.2023.107855. Epub 2023 Oct 12.","Gaudêncio AS","Comput Methods Programs Biomed","2023","2023/10/18","","","10.1016/j.cmpb.2023.107855"
"40737814","Rethinking data imbalance in class incremental surgical instrument segmentation","Zhao S, Bai L, Yuan K, Li F, Yu J, Dong W, Wang G, Hoque M, Padoy N, Navab N, Ren H.","Med Image Anal. 2025 Oct;105:103728. doi: 10.1016/j.media.2025.103728. Epub 2025 Jul 22.","Zhao S","Med Image Anal","2025","2025/07/30","","","10.1016/j.media.2025.103728"
"40380414","Bias Detection in Histology Images Using Explainable AI and Image Darkness Assessment","Skarga-Bandurova I, Sharifnia G, Biloborodova T.","Stud Health Technol Inform. 2025 May 15;327:203-207. doi: 10.3233/SHTI250302.","Skarga-Bandurova I","Stud Health Technol Inform","2025","2025/05/17","","","10.3233/SHTI250302"
"41072367","Preprocessing narrative texts in electronic medical records to identify hospital adverse events: A scoping review","Jafarpour H, Wu G, Cheligeer CK, Yan J, Xu Y, Southern DA, Eastwood CA, Zeng Y, Quan H.","Artif Intell Med. 2025 Dec;170:103281. doi: 10.1016/j.artmed.2025.103281. Epub 2025 Oct 8.","Jafarpour H","Artif Intell Med","2025","2025/10/10","","","10.1016/j.artmed.2025.103281"
"41712078","Healthcare applications of 0-1 neural networks in prescriptive problems with observational data","Patil V, Hoppe KK, Mintz Y.","Health Care Manag Sci. 2026 Feb 19;29(1):6. doi: 10.1007/s10729-025-09751-5.","Patil V","Health Care Manag Sci","2026","2026/02/19","PMC12920400","","10.1007/s10729-025-09751-5"
"39966793","How good is your synthetic data? SynthRO, a dashboard to evaluate and benchmark synthetic tabular data","Santangelo G, Nicora G, Bellazzi R, Dagliati A.","BMC Med Inform Decis Mak. 2025 Feb 18;25(1):89. doi: 10.1186/s12911-024-02731-9.","Santangelo G","BMC Med Inform Decis Mak","2025","2025/02/18","PMC11837667","","10.1186/s12911-024-02731-9"
"41022432","Role of artificial intelligence in virtual emergency care: a protocol for a systematic review","Shankar R, Wang L, Hoe HS, Liew MF, Gollamudi SPK, Wong S.","BMJ Open. 2025 Sep 28;15(9):e103084. doi: 10.1136/bmjopen-2025-103084.","Shankar R","BMJ Open","2025","2025/09/29","PMC12481340","","10.1136/bmjopen-2025-103084"
"40067789","Using statistical modelling and machine learning in detecting bone properties: A systematic review protocol","Abdelhay O, Alshoubaki R, Murad S, Abdel-Hafez O, Abdelhay Q, Haddad B, Alhosanie T, Ajlouni H, Ajlouni L, Qarain T, Murad H, Altamimi T.","PLoS One. 2025 Mar 11;20(3):e0319583. doi: 10.1371/journal.pone.0319583. eCollection 2025.","Abdelhay O","PLoS One","2025","2025/03/11","PMC11896029","","10.1371/journal.pone.0319583"
"40961741","Reference standard methodology in the clinical evaluation of AI chest X-ray algorithms for lung cancer detection: A systematic review","Duncan SF, Kidd AC, Lampignano JP, Cannon P, Hall M, Stobo DB, Maclay JD, Blyth KG, Lowe DJ.","Eur J Radiol. 2025 Nov;192:112409. doi: 10.1016/j.ejrad.2025.112409. Epub 2025 Sep 6.","Duncan SF","Eur J Radiol","2025","2025/09/17","","","10.1016/j.ejrad.2025.112409"
"39812924","Differences in technical and clinical perspectives on AI validation in cancer imaging: mind the gap!","Chouvarda I, Colantonio S, Verde ASC, Jimenez-Pastor A, Cerdá-Alberich L, Metz Y, Zacharias L, Nabhani-Gebara S, Bobowicz M, Tsakou G, Lekadir K, Tsiknakis M, Martí-Bonmati L, Papanikolaou N.","Eur Radiol Exp. 2025 Jan 15;9(1):7. doi: 10.1186/s41747-024-00543-0.","Chouvarda I","Eur Radiol Exp","2025","2025/01/15","PMC11735720","","10.1186/s41747-024-00543-0"
