"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Stochastic Subsets Method with Deep Image Prior for PET Image Reconstruction","Y. Chen; B. Liu","School of Information Science and Engineering, Wuhan University of Science and Technology, Wuhan, China; School of Information Science and Engineering, Wuhan University of Science and Technology, Wuhan, China",2025 37th Chinese Control and Decision Conference (CCDC),"5 Aug 2025","2025","","","6213","6218","Positron emission tomography (PET) is an effective tool for the early diagnosis of many diseases. However, achieving high-quality image reconstruction from low-count PET data remains a significant challenge. Recently, convolutional neural networks (CNNs) have gained widespread attention for their potential in PET image reconstruction. Among these, the deep image prior approach, which leverages unsupervised learning, has proven effective by utilizing only the prior information of the patient and the measured data. This paper proposes a PET image reconstruction method that integrates the stochastic subsets approach with deep image prior. Specifically, the proposed method employs deep coefficient priors to model the PET forward process for the coefficient image using a convolutional neural network. The reconstruction problem is formulated as a maximum likelihood optimization problem within a neural network framework. A convergent iterative reconstruction algorithm is developed using the optimization transfer method, seamlessly combining CNN-based modeling with expectation-maximization update steps to ensure data consistency. Experiments on both simulated and clinical PET datasets validate the effectiveness of the proposed algorithm.","1948-9447","979-8-3315-1056-5","10.1109/CCDC65474.2025.11091244","National Natural Science Foundation of China(grant numbers:62173259); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11091244","Image reconstruction;positron emission tomography;stochastic subsets;deep image prior","Neural networks;Stochastic processes;Reconstruction algorithms;Stability analysis;Convolutional neural networks;Positron emission tomography;Image reconstruction;Optimization;Unsupervised learning;Diseases","","","","18","IEEE","5 Aug 2025","16-19 May 2025","16-19 May 2025","IEEE","IEEE Conferences"
"Synthetic data in AI-powered medical devices – the EU regulatory implications","T. Braun; D. E. Harasimiuk","Faculty of Law and Administration, Lazarski University, Warsaw, Poland; Faculty of Political Science and International Studies, University of Warsaw, Warsaw, Poland",2025 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB),"30 Sep 2025","2025","","","1","7","The growing use of synthetic data in AI technologies is one of the major technological trends particularly relevant in the healthcare sector. AI - powered medical devices may be trained and evaluated with the support of synthetic data. As synthetic data applications increase, specific legal, ethical, and regulatory challenges arise. The EU regulatory framework for synthetic data relies on existing provisions of the Medical Devices Regulation, the General Data Protection Regulation, and the AI Act. None of these acts defines the notion of synthetic data and provides specifically tailored provisions relating to it. The legal and ethical approaches will differ depending on the type of synthetic data at stake, its generation methods, and final use. The potential beneficial applications of synthetic data in healthcare regulatory processes should be carefully evaluated not only from the point of view of their legality but also from the point of view of their compliance with ethical principles of fairness, accuracy, and trustworthiness. This article contributes to a broader scholarly discussion about the ethical implications of legal gaps identified in the debate of the matter.","2994-9408","979-8-3315-0266-9","10.1109/CIBCB66090.2025.11177057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11177057","Artificial intelligence;Data sets;Synthetic data;Real-world data;Medical devices;Ethical AI;EU AI Act","Ethics;Data privacy;Medical devices;Accuracy;Law;Medical services;Safety;Artificial intelligence;General Data Protection Regulation;Synthetic data","","","","40","IEEE","30 Sep 2025","20-22 Aug. 2025","20-22 Aug. 2025","IEEE","IEEE Conferences"
"Synthetic Data for Infertility Research: A Literature Review","R. Szatmáry; K. S. Szatmáry; F. -Y. Wang","John von Neumann Faculty of Informatics, Obuda University, Budapest, Hungary; John von Neumann Faculty of Informatics, Obuda University, Budapest, Hungary; Institute of Automation Chinese Academy of Sciences, Beijing, China",2025 IEEE 25th International Symposium on Computational Intelligence and Informatics (CINTI),"29 Dec 2025","2025","","","673","678","Infertility presents a pressing clinical and societal challenge, yet its study is constrained by the scarcity of representative data. Public health datasets such as NHANES contain rich physiological, behavioural, and demographic features but are limited by severe class imbalance, with infertile cases representing only a small minority. This imbalance reduces the sensitivity and generalizability of machine learning models applied to infertility prediction. Traditional rebalancing strategies, such as oversampling, are insufficient for capturing the complex hormonal, psychosocial, and environmental interactions underlying infertility. This paper reviews advances in synthetic data generation as a means to address these limitations. Generative adversarial networks (GANs) and variational autoencoders (VAEs) offer statistical realism and coverage, while large language models (LLMs) introduce the possibility of embedding domain knowledge and clinical constraints directly into synthetic case creation. These approaches promise to enrich minority-class representation, enhance predictive robustness, and improve fairness in reproductive health modelling. At the same time, they raise new challenges of validation, transparency, and ethical oversight. By synthesizing insights across existing methods, this review highlights infertility as a critical test case for generative $\mathbf{A I}$ and argues that progress depends not only on technical innovation but also on developing trustworthy frameworks for clinical deployment.","2471-9269","979-8-3315-5291-6","10.1109/CINTI67731.2025.11311699","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11311699","infertility;synthetic data generation;artificial intelligence;literature review","Technological innovation;Sensitivity;Infertility;Pressing;Predictive models;Robustness;Physiology;Public healthcare;Synthetic data;Systematic literature review","","","","42","IEEE","29 Dec 2025","18-20 Nov. 2025","18-20 Nov. 2025","IEEE","IEEE Conferences"
"An Overview of Automated Breast Cancer Diagnosis Based on Mammographic Images Using Deep Learning Methods","G. Mehra; M. Manchanda; N. Singh","Dept. of Computer Science & Engg.,, Graphic Era Hill University, Graphic Era (Deemed to be University), Dehradun, India; Dept. of Computer Science and Engg., Graphic Era Hill University, Dehradun, India; Dept. of Computer Science and Engg., SRM Institute of Science and Technology, Ghaziabad, India","2025 International Conference on Intelligent Computing, Information and Control Systems (ICOIICS)","24 Feb 2026","2025","","","1625","1630","Breast cancer remains one of the leading causes of mortality among women worldwide, making early and reliable diagnosis a critical healthcare priority. With the increasing availability of mammographic imaging and advances in artificial intelligence, deep learning has emerged as a transformative approach for computer-aided diagnosis. This paper presents a comprehensive review of automated breast cancer detection methods using mammographic images, focusing specifically on deep learning-based techniques. Unlike original research studies, this review compiles and synthesizes findings from recent works (2018-2025), highlighting commonly used datasets, preprocessing strategies, model architectures, and evaluation metrics. Comparative insights are provided to understand why certain models outperform others under specific conditions, along with a discussion of research gaps such as dataset bias, interpretability, federated learning, and domain adaptation. The novelty of this work lies in providing an organized overview and critical synthesis of existing studies rather than proposing a new model or experiment. This survey aims to guide future research toward addressing limitations in current methodologies and fostering clinically reliable breast cancer diagnostic systems.","","979-8-3315-9897-6","10.1109/ICOIICS67115.2025.11390366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11390366","Breast Cancer;Mammography;Deep Learning;Automated Diagnosis;Convolutional Neural Networks;ComputerAided Detection;Medical Imaging;INbreast;MIAS;DDSM;Image Classification","Deep learning;Surveys;Adaptation models;Accuracy;Reviews;Computational modeling;Computer architecture;Breast cancer;Reliability;Image classification","","","","15","IEEE","24 Feb 2026","19-21 Nov. 2025","19-21 Nov. 2025","IEEE","IEEE Conferences"
"Generative Neural Networks for Data Imputation in Longitudinal Epidemiological Studies","C. Killing; K. Elsbernd; M. Wekerle; M. Hoelscher; A. Rachow; N. Castelletti","Institute of Infectious Diseases and Tropical Medicine, LMU University Hospital, LMU Munich, Munich, Germany; Institute of Infectious Diseases and Tropical Medicine, LMU University Hospital, LMU Munich, Munich, Germany; Institute of Infectious Diseases and Tropical Medicine, LMU University Hospital, LMU Munich, Munich, Germany; Institute of Infectious Diseases and Tropical Medicine, LMU University Hospital, LMU Munich, Munich, Germany; Institute of Infectious Diseases and Tropical Medicine, LMU University Hospital, LMU Munich, Munich, Germany; In stitute of Infectious Diseases and Tropical Medicine, LMU University Hospital, LMU Munich, Munich, Germany",IEEE Journal of Biomedical and Health Informatics,"4 Feb 2026","2026","30","2","1841","1848","Longitudinal epidemiological studies often face challenges with incomplete follow-up and missing data, which can bias results and reduce statistical power. Conventional imputation methods may not adequately capture the complex patterns and dependencies in such multivariate time series data. While more recently developed generative machine learning models offer improved solutions, few methods are available which can handle inconsistently spaced intervals between measurements across long time periods and completely missing time steps, characteristics which are common in real-world studies evaluating long-term health outcomes. This paper introduces a variational autoencoder-based generative neural network designed for imputing partially and fully missing information in irregular time series with extensive missingness. Our approach exploits both correlations between features at a single time step and trends of the same feature over time to reconstruct missing values. Experiments on synthetic data designed to resemble the characteristics of longitudinal epidemiological studies and a case study on a real-world dataset demonstrate the effectiveness of our approach. We show superior performance and parameter stability across varying degrees of missingness and missingness patterns compared to prior work.","2168-2208","","10.1109/JBHI.2025.3632647","BMBF-DLR(grant numbers:01KA2223B); BMBF-DZIF(grant numbers:01KA2108); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11249484","Biomedical computing;data imputation;generative neural networks;machine learning","Imputation;Time series analysis;Encoding;Neural networks;Deep learning;Decoding;Biomedical measurement;Gaussian distribution;Trajectory;Data models","Humans;Neural Networks, Computer;Longitudinal Studies;Epidemiologic Studies;Machine Learning;Algorithms","","","31","CCBYNCND","14 Nov 2025","Feb. 2026","","IEEE","IEEE Journals"
"Fine-Tuning LLMs for Anesthesiology via Compositional Data Generation","Y. Li; Y. Zhan; B. Yu; Z. Wang; C. Zhang; D. Zhu; C. Zhou; B. Zhou; L. Ding; W. Liu; X. Wang; D. Tao","School of Information Science and Engineering, Yunnan University, Kunming, China; Yunnan United Vision Technology Company Ltd., Kunming, China; Nanyang Technological University, Singapore; China University of Petroleum (East China), Qingdao, China; School of Information Science and Engineering, Yunnan University, Kunming, China; School of Information Science and Engineering, Yunnan University, Kunming, China; School of Information Science and Engineering, Yunnan University, Kunming, China; China University of Petroleum (East China), Qingdao, China; Zhejiang University, Hangzhou, China; China University of Petroleum (East China), Qingdao, China; The Second Affiliated Hospital of Kunming Medical University, Kunming, China; School of Information Science and Engineering, Yunnan University, Kunming, China",IEEE Transactions on Emerging Topics in Computational Intelligence,"24 Nov 2025","2025","9","6","4051","4065","Data scarcity presents a significant challenge in developing medical large language models (LLMs), especially in specialized fields like anesthesiology. Leveraging advanced LLMs like ChatGPT to synthesize high-quality Q&A data is a promising solution to address the data scarcity issue. However, limited research exists on methods to produce such datasets specifically for anesthesiology, despite their importance for training robust LLMs. In this paper, we explore a compositional approach to generating anesthesia data for fine-tuning medical LLMs, and we refer to the proposed compositional data generation method as CDGen. Specifically, we first introduce a compositional augmentation strategy to enhance the diversity and reliability of collected medical records. We then employ a self-talk approach to generate anesthesia Q&A data from augmented medical records. We conduct extensive experiments to demonstrate the effectiveness of our approach using common metrics and GPT-4 evaluation, and experimental results demonstrate that the proposed data generation approach can synthesize high-quality Q&A data and effectively improve the performance of LLMs in Q&A tasks related to anesthesia.","2471-285X","","10.1109/TETCI.2025.3567602","Yunling Scholar Talent Program of Yunnan Province(grant numbers:K264202230207); Deng Cheng Expert Workstation of Yunnan Province(grant numbers:202305AF150202); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11018356","Large language models (LLMs);instruction tuning;synthetic data generation","Data collection;Anesthesia;Reliability;Anesthesiology;Training;Data models;Chatbots;Synthetic data;Large language models;Algorithm design and analysis","","","","74","IEEE","2 Jun 2025","Dec. 2025","","IEEE","IEEE Journals"
"A Shortened Model for Logan Reference Plot Implemented via the Self-Supervised Neural Network for Parametric PET Imaging","W. Ding; Q. Ding; K. Chen; M. Zhang; L. Lv; D. D. Feng; L. Bi; J. Kim; Q. Huang","Department of Nuclear Medicine, Ruijin Hospital, Shanghai Jiao Tong University, Shanghai, China; Institute of Natural Sciences, Shanghai Jiao Tong University, Shanghai, China; Banner Alzheimer’s Institute, Phoenix, AZ, USA; Department of Nuclear Medicine, Ruijin Hospital, Shanghai Jiao Tong University, Shanghai, China; School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Computer Science, The University of Sydney, Sydney, NSW, Australia; School of Computer Science, The University of Sydney, Sydney, NSW, Australia; School of Computer Science, The University of Sydney, Sydney, NSW, Australia; Department of Nuclear Medicine, Ruijin Hospital, Shanghai Jiao Tong University, Shanghai, China",IEEE Transactions on Medical Imaging,"2 Oct 2023","2023","42","10","2842","2852","Dynamic PET imaging provides superior physiological information than conventional static PET imaging. However, the dynamic information is gained at the cost of a long scanning protocol; this limits the clinical application of dynamic PET imaging. We developed a modified Logan reference plot model to shorten the acquisition procedure in dynamic PET imaging by omitting the early-time information necessary for the conventional reference Logan model. The proposed model is accurate theoretically, but the straightforward approach raises the sampling problem in implementation and results in noisy parametric images. We then designed a self-supervised convolutional neural network to increase the noise performance of parametric imaging, with dynamic images of only a single subject for training. The proposed method was validated via simulated and real dynamic  $^{{18}}\text{F}$ -fallypride PET data. Results showed that it accurately estimated the distribution volume ratio (DVR) in dynamic PET with a shortened scanning protocol, e.g., 20 minutes, where the estimations were comparable with those obtained from a standard dynamic PET study of 120 minutes of acquisition. Further comparisons illustrated that our method outperformed the shortened Logan model implemented with Gaussian filtering, regularization, BM4D and the 4D deep image prior methods in terms of the trade-off between bias and variance. Since the proposed method uses data acquired in a short period of time upon the equilibrium, it has the potential to add clinical values by providing both DVR and Standard Uptake Value (SUV) simultaneously. It thus promotes clinical applications of dynamic PET studies when neuronal receptor functions are studied.","1558-254X","","10.1109/TMI.2023.3266455","Shanghai Jiao Tong University (SJTU) Global Strategic Partnership Fund(grant numbers:2021 SJTU-USyd); Interdisciplinary Program of SJTU(grant numbers:YG2021QN15); National Natural Science Foundation of China(grant numbers:51627807,12201402); Shanghai Municipal Science and Technology Major Project(grant numbers:2021SHZDZX0102); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10100693","Dynamic PET;Logan plot;parametric imaging;self-supervised neural network;shortened model","Imaging;Positron emission tomography;Protocols;Kinetic theory;Artificial neural networks;Steady-state;Standards","Positron-Emission Tomography;Neural Networks, Computer","9","","48","IEEE","12 Apr 2023","Oct. 2023","","IEEE","IEEE Journals"
"Bias Inheritance and its Amplification in GAN-Based Synthetic Data Augmentation for Skin Lesion Classification","M. Jindal; B. Singh","Deptt. of Computer Science & Engineering, Sant Longowal Institute of Engineering & Technology, Sangrur, India; Deptt. of Computer Science & Engineering, Sant Longowal Institute of Engineering & Technology, Sangrur, India",2024 3rd International Conference on Artificial Intelligence For Internet of Things (AIIoT),"2 Jul 2024","2024","","","1","6","Even with the increasing availability of high-quality public datasets, the shortage of training samples remains a primary hurdle in deep learning skin analysis. Generative Adversarial Networks (GANs) present a promising solution by generating synthetic skin lesion images that closely resemble real images. Numerous studies have investigated the potential of GANs in medical contexts, yet their applicability remains uncertain due to prevalent biases in biomedical datasets and associated risks. Initial experiments on skin lesion datasets have yielded unreliable outcomes, prompting the fundamental question: ""Is GAN truly beneficial for biomedical classification tasks?"" Additionally, concerns about the amplification of dataset biases by AI models warrant further investigation into the inherent biases inherited by GANs. Considering these gaps, this study conducts experiments on skin lesion classification using four GAN architectures to assess their effectiveness in data generation, both conditional and unconditional. Among these models, StyleGAN2, when unconditionally applied, produced samples that contributed to classification improvement. Moreover, the visual analysis of generated samples revealed that GANs tend to amplify the existing biases with high distribution while suppressing those with low distribution. These findings highlight the limited efficacy of GAN-based augmentation for skin lesion classification in specific scenarios. Thus, caution is advised against the widespread adoption of GANs in medical applications due to computational costs and associated risks.","","979-8-3503-7212-0","10.1109/AIIoT58432.2024.10574714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10574714","data augmentation;generative adversarial networks;GANs;skin lesion classification;deep learning","Training;Visualization;Medical services;Learning (artificial intelligence);Generative adversarial networks;Skin;Lesions","","3","","35","IEEE","2 Jul 2024","3-4 May 2024","3-4 May 2024","IEEE","IEEE Conferences"
"Contactless Estimation of Respiratory Frequency Using 3D-CNN on Thermal Images","F. Gioia; F. Pura; A. Greco; D. Piga; A. Merla; M. Forgione","Department of Information Engineering, University of Pisa, Pisa, Italy; SUPSI-DTI-IDSIA, Dalle Molle Institute for Artificial Intelligence, Viganello, Switzerland; Department of Information Engineering, University of Pisa, Pisa, Italy; SUPSI-DTI-IDSIA, Dalle Molle Institute for Artificial Intelligence, Viganello, Switzerland; Department of Engineering and Geology, University “G. d'Annunzio”, Chieti, CH, Italy; SUPSI-DTI-IDSIA, Dalle Molle Institute for Artificial Intelligence, Viganello, Switzerland",IEEE Journal of Biomedical and Health Informatics,"6 Oct 2025","2025","29","10","7387","7395","Monitoring physiological parameters such as respiratory rate (f$_{R}$) is essential for diagnosing and managing various pathological conditions. Thermal imaging offers a promising contactless alternative to traditional methods, which often rely on partially invasive sensors or obtrusive wearable systems. However, existing approaches for f$_{R}$ estimation from thermal signals typically require extensive pre-processing and manual or semi-automatic region-of-interest (ROI) tracking, limiting their practical applicability. This study proposes a deep learning-based method for estimating f$_{R}$ directly from thermal videos, eliminating the need for complex pre-processing and ROI tracking. A 3D Convolutional Neural Network (3D-CNN) is developed to operate on raw thermal video data. To address challenges related to small datasets, the model is trained using data augmentation and transfer learning from synthetic datasets. Experimental results demonstrate that the proposed approach achieves a validation $R^{2}$ score of approximately 0.61 on both pre-processed and raw thermal videos. By simplifying the workflow, this method holds promise for enhancing the feasibility of thermal imaging in real-world applications, such as remote healthcare and driver monitoring in automotive applications.","2168-2208","","10.1109/JBHI.2025.3567141","Eureka Eurostars Project HIRA - Hybrid InfraRed System for Affective Computing(grant numbers:2335); Italian Ministry of Education and Research; Departments of Excellence; PNRR—M4C2—Investment 1.3, Partenariato Esteso PE00000013—”FAIR - Future Artificial Intelligence Research”—Spoke 1 “Human-centered AI”; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10988633","Contactless monitoring;deep learning;respiratory frequency;synthetic data generation;thermal imaging","Monitoring;Infrared imaging;Human factors;Nose;Imaging;Temperature sensors;Protocols;Pediatrics;Deep learning;Cameras","Humans;Neural Networks, Computer;Respiratory Rate;Thermography;Deep Learning;Imaging, Three-Dimensional;Signal Processing, Computer-Assisted","2","","52","IEEE","5 May 2025","Oct. 2025","","IEEE","IEEE Journals"
"Handling Imbalanced Data: The SMOTE Technique","S. Călin","Şcoala Doctorală, Academia Tehnică Militară, „Ferdinand I‟, Bucharest, Romania","2025 17th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)","4 Aug 2025","2025","","","1","5","In machine learning projects the quality and structure of data play a critical role in determining model performance. One common challenge in real-world datasets is class imbalance, where one class significantly outnumbers others. This imbalance can lead to biased models that perform well on the majority class but poorly on the minority class, resulting in misleading accuracy and limited generalization. A widely adopted solution to this problem is SMOTE (Synthetic Minority Over-sampling Technique), which generates synthetic samples for the minority class to help balance the dataset. This paper explores how SMOTE works, its advantages over traditional oversampling methods and its impact on improving model performance in imbalanced classification tasks. A practical, step-by-step implementation is also presented to illustrate how SMOTE can be applied to a real-world imbalanced dataset, making this paper a useful guide for practitioners and researchers seeking to understand and use the technique effectively.","2688-0253","979-8-3315-3352-6","10.1109/ECAI65401.2025.11095450","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11095450","machine learning;SMOTE;imbalanced data;healthcare;class distribution","Sentiment analysis;Interpolation;Redundancy;Predictive models;Performance metrics;Data models;Robustness;Medical diagnosis;Synthetic data;Overfitting","","","","8","IEEE","4 Aug 2025","26-27 June 2025","26-27 June 2025","IEEE","IEEE Conferences"
"A Counterfactual Fair Model for Longitudinal Electronic Health Records via Deconfounder","Z. Liu; X. Li; P. S. Yu",University of Illinois at Chicago; University of Illinois at Chicago; University of Illinois at Chicago,2023 IEEE International Conference on Data Mining (ICDM),"5 Feb 2024","2023","","","1175","1180","The fairness issue of clinical data modeling, especially on Electronic Health Records (EHRs), is of utmost importance due to EHR’s complex latent structure and potential selection bias. However, traditional methods often encounter the tradeoff between accuracy and fairness, as they fail to capture the underlying factors beyond observed data. To tackle this challenge, we propose a novel model called Fair Longitudinal Medical Deconfounder (FLMD)1 that aims to achieve both fairness and accuracy in longitudinal Electronic Health Records (EHR) modeling. FLMD employs a two-stage training process. In the first stage, FLMD captures unobserved confounders for each encounter, effectively representing underlying medical factors beyond observed EHR, such as patient genotypes and lifestyle habits. This unobserved confounder is crucial for addressing the accuracy/fairness dilemma. In the second stage, FLMD combines the learned latent representation with other relevant features to make predictions. By incorporating appropriate fairness criteria, such as counterfactual fairness, FLMD ensures that it maintains high prediction accuracy while simultaneously minimizing health disparities. We conducted comprehensive experiments on two real-world EHR datasets to demonstrate the effectiveness of FLMD. Apart from comparing baseline methods and FLMD variants in terms of fairness and accuracy, we assessed the performance of all models on disturbed/imbalanced and synthetic datasets to showcase the superiority of FLMD across different settings and provide valuable insights into its capabilities. For more details about this work, please refer to the full version of our paper2.1https://anonymous.4open.science/r/ICDM_FLMD-C2232https://arxiv.org/abs/2308.11819","2374-8486","979-8-3503-0788-7","10.1109/ICDM58522.2023.00144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10415843","electronic health record;fairness;deconfounder;deep generative model;health disparity","Training;Electric potential;Data models;Data mining;Electronic medical records;Synthetic data","","","","44","IEEE","5 Feb 2024","1-4 Dec. 2023","1-4 Dec. 2023","IEEE","IEEE Conferences"
"Evaluating and Reducing AI Model Group Disparity: An Analysis of COVID Test Outcomes in Children","A. Libin; J. T. Treitler; Y. Shao","AIM AHEAD Consortium, Medstar Research Health Institute, Georgetown University, Washington, D.C; Thomas Jefferson High School for Science and Technology, Alexandria, USA; Dept. of Clinical Research and Leadership, George Washington University, Washington, DC, USA",2023 International Conference on Computational Science and Computational Intelligence (CSCI),"19 Jul 2024","2023","","","1511","1513","AI fairness in healthcare has attracted significant attention due to the potential risk of perpetuating health disparity. This study assessed the group parity of a set of machine learning (ML) models trained on the National Health Interview Survey data, with COVID test result as the outcome. We also experimented with the use of synthetic data to reduce group disparity. Our results suggests that group disparity is prevalent in ML models though often not statistically significant, and the use of synthetic data can sometimes enhance group parity.","2769-5654","979-8-3503-6151-3","10.1109/CSCI62032.2023.00248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10590364","AI fairness;group parity;machine learning;synthetic data","COVID-19;Surveys;Scientific computing;Computational modeling;Medical services;Machine learning;Data models","","","","13","IEEE","19 Jul 2024","13-15 Dec. 2023","13-15 Dec. 2023","IEEE","IEEE Conferences"
"Evaluating a Longitudinal Synthetic Data Generator using Real World Data","Z. Wang; P. Myles; A. Jain; J. L. Keidel; R. Liddi; L. Mackillop; C. Velardo; A. Tucker","CPRD, Medicines and Healthcare products Regulatory Agency, London, UK; CPRD, Medicines and Healthcare products Regulatory Agency, London, UK; CPRD, Medicines and Healthcare products Regulatory Agency, London, UK; Sensyne Health, Oxford, UK; Sensyne Health, Oxford, UK; Sensyne Health, Oxford, UK; Sensyne Health, Oxford, UK; Dept. of Computer Science, Intelligent Data Analysis Group, Brunel University London, London, UK",2021 IEEE 34th International Symposium on Computer-Based Medical Systems (CBMS),"12 Jul 2021","2021","","","259","264","Synthetic data offer a number of advantages over using ground truth data when working with private and personal information about individuals. Firstly, the risk of identifying individuals is reduced considerably, which enables the sharing of data for analysis amongst more organisations. Secondly, the fine tuning of synthetic datapoints to suit particular modelling and analyses could help to build more suitable models that can avoid biases found in the original ground truth data. In this paper we explore how a probabilistic synthetic data generator can be used to model data with high enough fidelity that it can be used to develop and validate state-of-the-art machine learning models. In particular, we use a Bayesian network model trained on gestational diabetes data, generated from a mobile health app collected from a number of health trusts in the UK. These data are used to train and test an established machine learning model developed by Sensyne Health using real-world data, and the resulting performance is compared to performance on ground truth data. In addition, a clinical validation is undertaken to explore if human experts can differentiate real patients from synthetic ones. We demonstrate that the Bayesian network synthetic data generator is able to mimic the ground truth closely enough to make it difficult for a human expert to distinguish between the two. We show that the data generator captures the interactions between features and the multivariate distributions close enough to enable classifiers to be inferred that imitate the key performance characteristics of models inferred from ground truth data. What is more, we demonstrate that the discovered mis-classifications found when testing using the synthetic data, are as informative as when testing using ground truth data.","2372-9198","978-1-6654-4121-6","10.1109/CBMS52027.2021.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474660","Synthetic Data;Bayesian Networks;Machine Learning;Diabetes","Analytical models;Computational modeling;Machine learning;Probabilistic logic;Data models;Generators;Bayes methods","","3","","10","IEEE","12 Jul 2021","7-9 June 2021","7-9 June 2021","IEEE","IEEE Conferences"
"Rate-In: Information-Driven Adaptive Dropout Rates for Improved Inference-Time Uncertainty Estimation","T. Zeevi; R. Shwartz-Ziv; Y. LeCun; L. H. Staib; J. A. Onofrey",Yale University; New York University; New York University; Yale University; Yale University,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"13 Aug 2025","2025","","","20757","20766","Accurate uncertainty estimation is crucial for deploying neural networks in risk-sensitive applications such as medical diagnosis. Monte Carlo Dropout is a widely used technique for approximating predictive uncertainty by performing stochastic forward passes with dropout during inference. However, using static dropout rates across all layers and inputs can lead to suboptimal uncertainty estimates, as it fails to adapt to the varying characteristics of individual inputs and network layers. Existing approaches optimize dropout rates during training using labeled data, resulting in fixed inference-time parameters that cannot adjust to new data distributions, compromising uncertainty estimates in Monte Carlo simulations.In this paper, we propose Rate-In, an algorithm that dynamically adjusts dropout rates during inference by quantifying the information loss induced by dropout in each layer’s feature maps. By treating dropout as controlled noise injection and leveraging information-theoretic principles, Rate-In adapts dropout rates per layer and per input instance without requiring ground truth labels. By quantifying the functional information loss in feature maps, we adaptively tune dropout rates to maintain perceptual quality across diverse medical imaging tasks and architectural configurations. Our extensive empirical study on synthetic data and real-world medical imaging tasks demonstrates that Rate-In improves calibration and sharpens uncertainty estimates compared to fixed or heuristic dropout rates without compromising predictive performance. Rate-In offers a practical, unsupervised, inference-time approach to optimizing dropout for more reliable predictive uncertainty estimation in critical applications.","2575-7075","979-8-3315-4364-8","10.1109/CVPR52734.2025.01933","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11095039","dropout optimization;monte carlo dropout;uncertainty estimation;adaptive dropout;information-theoretic dropout;medical imaging","Training;Uncertainty;Monte Carlo methods;Noise;Neural networks;Estimation;Pattern recognition;Reliability;Biomedical imaging;Synthetic data","","","","43","IEEE","13 Aug 2025","10-17 June 2025","10-17 June 2025","IEEE","IEEE Conferences"
"Advancing Disease Prediction with Data Synthesis and Noise-tolerant Training","J. Duan; H. Jing; F. Lu","School of Software and Microelectronics, Peking University, Beijing, China; School of Software and Microelectronics, Peking University, Beijing, China; School of Software and Microelectronics, Peking University, Beijing, China","2025 IEEE 7th International Conference on Artificial Intelligence, Computer Science, and Information Processing (AICSIP)","17 Mar 2026","2025","","","1","8","Disease prediction (DP) requires an automatic program to infer a patient's underlying diseases from his/her electronic medical records (EMRs), a long-standing focus in bioinformatics. Although deep learning approaches have achieved promising results on this task, the lack of sufficient clinical EMRs significantly prohibits further progress. In this paper, we exploit advanced technologies encompassing pre-trained language models (PLMs) to address this problem. We first reformulate DP as a masked language modeling problem, which facilitates BERT, with slight fine-tuning, to jointly predict the assertion words that indicate the diagnostic opinion of candidate diseases. We also leverage the excellent generation ability of GPT-4, reprocessing abundant online medical texts to augment the limited EMR data. For this, we ask GPT-4 to synthesize novel EMRs using medical cases and dialogues that contain partial clinical information by performing a Grouped Pointwise MixUp algorithm. To utilize the synthetic data without suffering potential biases, we establish criteria and prompt GPT-4 to filter out flawed samples through knowledge-based question-answering and use the remaining to fine-tune BERT through noise-tolerant training. Extensive evaluation results on two real datasets demonstrate substantial enhancements achieved by our methods. Our codes and data will be released to facilitate further studies.","","979-8-3315-2406-7","10.1109/AICSIP65423.2025.11427198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11427198","disease prediction;data synthesis;noise-tolerant training","Training;Pipelines;Knowledge based systems;Information processing;Predictive models;Information filters;Data models;Medical diagnostic imaging;Diseases;Synthetic data","","","","25","IEEE","17 Mar 2026","25-27 July 2025","25-27 July 2025","IEEE","IEEE Conferences"
